iter	RMSE
0	77895.56955
1	76373.77202
2	74895.18286
3	73509.36007
4	72146.47756
5	70824.42137
6	69487.74288
7	68282.66088
8	67032.84458
9	65960.49912
10	64922.05424
11	63918.8804
12	62851.00318
13	61762.39307
14	60703.21162
15	59722.81397
16	58712.78518
17	57832.89828
18	56886.72129
19	55978.78112
20	55109.30338
21	54278.28664
22	53503.53808
23	52723.15916
24	51912.51406
25	51189.95225
26	50483.79704
27	49790.78185
28	49083.31063
29	48421.91256
30	47798.48456
31	47177.3522
32	46562.89986
33	46002.68342
34	45392.51494
35	44840.28853
36	44295.83186
37	43765.66822
38	43241.85296
39	42777.74981
40	42272.06974
41	41799.20585
42	41327.22658
43	40879.97738
44	40458.58869
45	40048.27599
46	39642.1592
47	39238.05494
48	38844.93072
49	38471.59806
50	38082.68529
51	37727.47465
52	37370.63635
53	37047.62675
54	36733.60815
55	36404.83426
56	36070.11433
57	35767.14167
58	35475.09063
59	35160.22145
60	34844.57443
61	34542.01533
62	34242.4726
63	33956.29801
64	33714.26602
65	33453.00678
66	33171.3444
67	32895.64694
68	32650.27062
69	32391.00776
70	32173.53019
71	31951.52395
72	31740.23508
73	31522.31927
74	31311.97498
75	31118.17706
76	30918.30502
77	30716.15038
78	30516.98676
79	30349.89112
80	30182.9037
81	30004.85148
82	29851.55352
83	29684.77241
84	29526.93709
85	29370.36214
86	29239.09505
87	29081.08923
88	28930.45677
89	28758.10065
90	28616.03434
91	28470.28364
92	28334.64322
93	28216.41324
94	28074.30082
95	27938.54245
96	27800.80378
97	27671.16983
98	27542.70387
99	27501.37106
100	27388.45247
101	27348.06909
102	27308.25157
103	27182.86751
104	27066.74236
105	26945.11849
106	26809.2751
107	26697.70618
108	26593.00374
109	26483.19497
110	26383.3211
111	26279.0091
112	26158.53857
113	26062.43697
114	25961.93281
115	25872.92959
116	25767.03095
117	25732.58943
118	25698.63279
119	25665.15435
120	25632.14752
121	25599.60578
122	25504.90536
123	25473.03322
124	25379.03037
125	25259.32499
126	25228.10966
127	25136.35315
128	25105.81241
129	24998.09414
130	24968.19209
131	24877.60092
132	24848.39423
133	24825.47117
134	24737.6407
135	24650.12548
136	24622.04657
137	24594.36772
138	24496.88636
139	24417.97995
140	24319.67444
141	24211.36332
142	24196.5939
143	24122.85422
144	24108.27396
145	24041.48704
146	24027.16735
147	23940.08706
148	23847.03607
149	23788.56839
150	23723.57387
151	23709.90132
152	23691.47043
153	23622.46493
154	23566.79627
155	23548.90556
156	23487.16312
157	23420.06432
158	23362.73822
159	23268.30231
160	23195.26042
161	23110.82172
162	23041.20553
163	23021.47454
164	22935.94421
165	22918.4174
166	22854.89097
167	22846.06432
168	22829.01183
169	22812.17917
170	22752.59071
171	22736.11467
172	22674.90689
173	22636.79053
174	22561.60406
175	22547.83327
176	22500.38106
177	22486.89428
178	22473.5742
179	22460.41853
180	22388.56249
181	22375.69225
182	22360.88987
183	22309.48336
184	22294.93988
185	22287.49961
186	22273.70606
187	22263.48119
188	22249.9584
189	22242.83629
190	22190.86334
191	22177.15535
192	22116.96675
193	22050.81868
194	22007.638
195	21994.85158
196	21925.46714
197	21912.99052
198	21857.51621
199	21810.11628
200	21748.05347
201	21741.6979
202	21681.39803
203	21612.29749
204	21549.88496
205	21493.31514
206	21443.32977
207	21431.81094
208	21369.71308
209	21319.89802
