iter	Passed	Remaining
0	11	2481
1	21	2200
2	29	2030
3	35	1808
4	41	1716
5	47	1602
6	50	1475
7	54	1367
8	57	1288
9	61	1230
10	64	1163
11	67	1107
12	69	1059
13	73	1033
14	76	995
15	79	965
16	82	933
17	84	903
18	87	876
19	90	860
20	93	837
21	95	816
22	97	796
23	100	779
24	103	767
25	108	769
26	111	755
27	113	740
28	116	726
29	119	715
30	121	702
31	124	690
32	126	679
33	129	669
34	131	658
35	134	649
36	138	648
37	141	639
38	144	631
39	146	622
40	149	614
41	152	610
42	155	603
43	157	596
44	160	588
45	162	581
46	165	575
47	169	571
48	172	567
49	175	561
50	178	555
51	180	548
52	184	545
53	186	539
54	189	533
55	191	527
56	194	521
57	196	516
58	200	512
59	203	509
60	206	504
61	209	499
62	211	493
63	214	490
64	217	485
65	219	479
66	222	474
67	224	469
68	227	464
69	230	461
70	233	456
71	236	454
72	239	449
73	241	444
74	245	441
75	247	437
76	250	432
77	252	427
78	255	423
79	258	419
80	261	416
81	264	412
82	266	408
83	270	405
84	272	400
85	276	398
86	278	394
87	281	389
88	283	385
89	286	381
90	289	378
91	293	376
92	296	372
93	298	368
94	302	365
95	304	362
96	307	358
97	309	354
98	312	350
99	314	346
100	317	342
101	320	339
102	323	335
103	325	332
104	328	328
105	330	324
106	334	321
107	337	319
108	340	315
109	342	311
110	345	308
111	347	304
112	350	301
113	354	298
114	356	294
115	359	291
116	361	287
117	363	283
118	367	281
119	370	277
120	372	274
121	375	270
122	377	267
123	380	263
124	383	260
125	386	257
126	388	254
127	391	250
128	393	247
129	396	243
130	400	241
131	403	238
132	405	234
133	408	231
134	410	228
135	413	225
136	416	222
137	419	218
138	421	215
139	424	212
140	426	208
141	430	206
142	434	203
143	436	200
144	439	196
145	441	193
146	445	190
147	448	187
148	450	184
149	453	181
150	455	178
151	458	174
152	461	171
153	464	169
154	467	165
155	469	162
156	472	159
157	476	156
158	478	153
159	481	150
160	483	147
161	486	144
162	488	140
163	492	138
164	495	135
165	498	132
166	501	129
167	504	126
168	507	123
169	510	120
170	514	117
171	517	114
172	521	111
173	523	108
174	526	105
175	529	102
176	532	99
177	536	96
178	540	93
179	542	90
180	545	87
181	547	84
182	550	81
183	554	78
184	556	75
185	558	72
186	561	69
187	564	66
188	568	63
189	571	60
190	573	57
191	575	53
192	578	50
193	581	47
194	584	44
195	586	41
196	589	38
197	591	35
198	595	32
199	599	29
200	601	26
201	603	23
202	606	20
203	609	17
204	611	14
205	614	11
206	617	8
207	619	5
208	622	2
209	624	0
